template_0,template_1,template_2
0.00043947700004335754,-0.04321966120813647,0.01019723792422851
0.0035158160003451533,0.034786892609342285,-0.0022660528720507105
0.0011186687273825628,0.05227750811140197,-0.0098882307144033
-0.0036756258185425203,0.0225818151025603,-0.01194827877990401
-0.007790728637128195,-0.04097055661266491,-0.0077251802456276015
-0.008150300728072567,-0.12504997722975614,0.0035020817113511713
-0.0016780030910737787,-0.21632681694419514,0.02245452391395751
0.020583504583838112,-0.28234722938263224,0.05191321125061739
0.056380903860078324,-0.33459503045236016,0.10168477276686907
0.10604979535586163,-0.36106907766061624,0.16072655057787388
0.1791577285133466,-0.35171777915515157,0.21902980187416343
0.2789782752716461,-0.2984390937242313,0.26761969892163984
0.37849641665238903,-0.1944501767148115,0.29855532906157534
0.45428329110951576,-0.05631299077826442,0.3049296947106127
0.4864961945292776,0.08795972107970103,0.2860444555667433
0.4615633851759555,0.21043664592073802,0.24509463165280326
0.3792316966743694,0.2916388642014904,0.18444780287791795
0.23903064640854982,0.33070069103222777,0.10841334776142976
0.025217545669328833,0.33081648111299605,0.023242443432897497
-0.24660942508891098,0.29645858019240684,-0.06287193436790314
-0.5331434039305816,0.23337732506763814,-0.13979501129097988
-0.7924263488976411,0.15078021342112535,-0.231195426389587
-0.9838490380095939,0.06788980635347032,-0.3235393149604626
-1.0907342348300206,0.00480920737548317,-0.4056544026089015
-1.123159584162395,-0.01747793759181809,-0.4687300052487551
-1.0817304506204406,0.001899661321822406,-0.5063170291024318
-0.9622488946534358,0.049330709344767694,-0.5143279707008971
-0.7855702858758488,0.10867376849936522,-0.48788899584428636
-0.5820581242262893,0.16320192316004753,-0.42845345868997786
-0.38566206707567785,0.20026087514398863,-0.34632791732970847
-0.23391792922724636,0.2173650068288846,-0.25293670923923134
-0.12436143072840934,0.21451431821473532,-0.16082195127831606
-0.04540179217068901,0.191708809301541,-0.0836435396907487
0.003701233057393256,0.14894848008930145,-0.036179150104331786
0.017977417707338184,0.08658966665478479,-0.0056426197410427426
0.01718429633789642,0.028341444391564136,0.012446955311123054
0.00810746288762243,-0.01608602860841471,0.01925129088120381
-0.0024674887049292993,-0.036982594253206186,0.015932102798237535
-0.007754964501205275,-0.02463809445086343,0.0036511068912623568
-0.0009693705626513394,0.030657628890558758,-0.01642998101068327
