start,stop
3336,4244
5492,6548
7652,8644
9872,10988
11916,13084
14216,15356
16508,17532
18736,19752
20888,21940
22936,24008
25148,26184
27252,28276
29636,30780
32052,33316
34440,35408
36604,37544
38692,39612
40704,41748
42624,43672
44780,45852
46928,47924
49040,50032
51156,52256
53340,54428
55636,56680
57956,59044
60312,61284
62476,63444
64708,65884
66924,67952
68928,69876
70988,71872
73092,74104
74908,75832
76928,77928
79112,80124
81176,82168
83172,84300
85392,86468
87644,88712
90064,91088
92520,93544
94728,95888
96864,97772
98820,99940
101000,102032
103076,104008
105104,106256
107192,108124
109328,110372
111588,112728
113824,114832
115972,117128
118040,119032
120144,121184
122372,123416
124676,125740
127076,128356
129524,130420
131568,132768
133836,134836
136160,137180
138440,139896
140828,141768
143048,144040
145296,146368
147580,148840
149884,150888
152164,153196
154344,155328
156644,157616
158920,159896
161276,162292
163576,164620
166836,167320
168404,169780
171068,172412
173512,174520
175812,177236
178488,179716
181004,182104
183636,185076
186156,187612
188576,189744
190916,192008
193496,195020
196092,197500
198504,199832
200804,201936
203104,204328
205456,206496
207936,209400
210376,211860
212800,214132
216200,216684
217788,219256
220264,221636
222640,223864
224924,225808
227188,228268
229696,230716
232228,233768
234768,236032
237296,238272
239556,240576
241704,242592
243820,245064
246372,247624
248696,249824
250992,252304
253544,254536
255820,257240
258268,259616
260656,262076
263176,264548
265836,267044
268432,269708
271076,272356
273516,274496
275772,276836
278140,279236
280552,281836
282932,284300
285328,286464
288780,289196
290288,291432
292672,293764
295048,296136
297252,298476
299556,300616
302108,303244
304536,305736
307928,308396
309544,310812
312008,313084
314380,315348
316740,317736
319164,320428
321396,322604
323760,324840
326364,327540
328836,329868
331244,332368
333500,334784
335904,337184
338384,339556
340928,342352
